Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power,Throughput_per_watt_avg
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,1,0.4915510919963708,520.800389152406,258229.33333333334,0.0020168134364508265
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,1,0.9822132430053898,521.2717336546749,281859.125,0.00184940520784869
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,1,1.9475791340009891,525.7809462644817,309603.5833333333,0.0016982392148168453
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,1,3.8854950979948626,527.0885558591709,331933.75,0.0015879330012665807
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,1,7.856520863999322,521.3503624446498,347639.19444444444,0.0014996880983969886
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,16,0.6946992730008787,5896.076416355799,328478.5714285714,0.01794965312566186
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,16,1.426613768999232,5742.268985491903,386488.8,0.014857530115987585
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,16,3.002536489999329,5456.719695021478,445888.5625,0.01223785527134143
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,16,6.037206844994216,5427.675552837778,485664.5862068966,0.011175769671057609
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,16,12.287363019000622,5333.609815113145,536069.074074074,0.009949482395203693
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,32,0.8384593919981853,9770.300241347562,359081.25,0.027209162943895183
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,32,1.7038298819970805,9615.983481165447,426469.1818181818,0.02254789769373081
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,32,3.4681271290028235,9448.32723286636,495712.27777777775,0.019060103322883482
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,32,7.106723617995158,9221.689701574189,545317.4545454546,0.01691068133746216
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,32,14.5496794339997,9008.583357081454,587863.4603174604,0.015324278451014124
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,64,0.9881816859997343,16579.94701999001,413637.625,0.040083266168037805
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,64,2.032333319002646,16123.339460911204,466359.3076923077,0.034572783677663796
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,64,4.0331631880035275,16249.28051384929,545510.7142857143,0.02978728022808116
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,64,8.322978371004865,15748.208652880972,606429.1842105263,0.025968751278655264
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,64,17.6158041910021,14881.182667431069,649112.0666666667,0.02292544451353249
